date,type,ticker,nom,quantite,prix,frais
2025-01-06,ACHAT,CW8.PA,Amundi MSCI World,1,579.09,1.99
2025-01-10,ACHAT,SAN.PA,Sanofi,12,95.61,2.00
2025-01-20,ACHAT,ASML.AS,ASML,1,748.00,1.99
2025-02-05,ACHAT,CW8.PA,Amundi MSCI World,1,584.88,1.99
2025-02-10,DIVIDENDE,ASML.AS,ASML,0,4.56,0.00
2025-02-10,VENTE,BNP.PA,BNP Paribas,15,69.49,1.99
2025-03-03,ACHAT,SAN.PA,Sanofi,8,107.68,2.00
2025-03-05,ACHAT,CW8.PA,Amundi MSCI World,1,551.27,1.99
2025-03-10,ACHAT,SAF.PA,Safran,3,238.40,1.99
2025-03-26,DIVIDENDE,TTE.PA,TotalEnergies,0,7.90,0.00
2025-04-07,ACHAT,SU.PA,Schneider Electric,4,186.56,1.99
2025-04-07,ACHAT,CW8.PA,Amundi MSCI World,1,472.93,1.99
2025-04-08,ACHAT,ESE.PA,BNP Paribas Easy S&P 500,60,23.78,1.99
2025-04-22,DIVIDENDE,AIR.PA,Airbus,0,15.00,0.00
2025-04-22,DIVIDENDE,DG.PA,Vinci,0,29.60,0.00
2025-04-24,DIVIDENDE,MC.PA,LVMH,0,37.50,0.00
2025-04-25,DIVIDENDE,ASML.AS,ASML,0,5.52,0.00
2025-05-05,ACHAT,CW8.PA,Amundi MSCI World,1,523.60,1.99
2025-05-05,DIVIDENDE,OR.PA,L'Oreal,0,35.00,0.00
2025-05-07,DIVIDENDE,EL.PA,EssilorLuxottica,0,15.80,0.00
2025-05-12,DIVIDENDE,SAN.PA,Sanofi,0,78.40,0.00
2025-05-12,VENTE,SAP.DE,SAP,2,262.50,1.99
2025-05-13,DIVIDENDE,SU.PA,Schneider Electric,0,39.00,0.00
2025-05-14,DIVIDENDE,SAP.DE,SAP,0,9.40,0.00
2025-05-19,DIVIDENDE,AI.PA,Air Liquide,0,24.00,0.00
2025-05-19,DIVIDENDE,BNP.PA,BNP Paribas,0,95.80,0.00
2025-05-27,DIVIDENDE,SAF.PA,Safran,0,23.20,0.00
2025-06-05,ACHAT,CW8.PA,Amundi MSCI World,1,547.43,1.99
2025-06-16,ACHAT,DG.PA,Vinci,5,125.25,1.99
2025-06-19,DIVIDENDE,TTE.PA,TotalEnergies,0,8.50,0.00
2025-06-20,VENTE,SAN.PA,Sanofi,5,83.22,2.00
2025-07-07,ACHAT,CW8.PA,Amundi MSCI World,1,550.96,1.99
2025-07-15,ACHAT,EL.PA,EssilorLuxottica,2,242.20,1.99
2025-07-28,DIVIDENDE,ASML.AS,ASML,0,4.80,0.00
2025-08-05,ACHAT,CW8.PA,Amundi MSCI World,1,561.40,1.99
2025-09-05,ACHAT,CW8.PA,Amundi MSCI World,1,570.63,1.99
2025-09-08,VENTE,OR.PA,L'Oreal,5,402.15,2.01
2025-09-26,DIVIDENDE,BNP.PA,BNP Paribas,0,51.80,0.00
2025-10-01,DIVIDENDE,TTE.PA,TotalEnergies,0,8.50,0.00
2025-10-06,ACHAT,AIR.PA,Airbus,4,201.10,1.99
2025-10-06,ACHAT,CW8.PA,Amundi MSCI World,1,595.94,1.99
2025-10-14,DIVIDENDE,DG.PA,Vinci,0,13.65,0.00
2025-10-28,DIVIDENDE,ASML.AS,ASML,0,4.80,0.00
2025-11-05,ACHAT,CW8.PA,Amundi MSCI World,1,609.18,1.99
2025-11-17,ACHAT,BNP.PA,BNP Paribas,10,68.30,1.99
2025-12-02,DIVIDENDE,MC.PA,LVMH,0,27.50,0.00
2025-12-05,ACHAT,CW8.PA,Amundi MSCI World,1,609.09,1.99
2025-12-31,DIVIDENDE,TTE.PA,TotalEnergies,0,8.50,0.00
2026-01-05,ACHAT,CW8.PA,Amundi MSCI World,1,614.32,1.99
2026-01-12,ACHAT,ASML.AS,ASML,1,1086.40,1.99
2026-02-05,ACHAT,CW8.PA,Amundi MSCI World,1,608.06,1.99
2026-02-09,DIVIDENDE,ASML.AS,ASML,0,6.40,0.00
2026-02-09,VENTE,SAF.PA,Safran,4,314.40,1.99
2026-03-05,ACHAT,CW8.PA,Amundi MSCI World,1,616.96,1.99
2026-03-16,ACHAT,SAP.DE,SAP,3,165.46,1.99
2026-03-31,DIVIDENDE,TTE.PA,TotalEnergies,0,8.50,0.00
2026-04-07,ACHAT,CW8.PA,Amundi MSCI World,1,597.32,1.99
2026-04-13,ACHAT,ESE.PA,BNP Paribas Easy S&P 500,50,29.44,1.99
2026-04-21,DIVIDENDE,AIR.PA,Airbus,0,28.80,0.00
2026-04-21,DIVIDENDE,DG.PA,Vinci,0,51.35,0.00
2026-04-24,DIVIDENDE,ASML.AS,ASML,0,10.80,0.00
2026-04-28,DIVIDENDE,MC.PA,LVMH,0,37.50,0.00
2026-05-05,ACHAT,CW8.PA,Amundi MSCI World,1,643.41,1.99
2026-05-05,DIVIDENDE,EL.PA,EssilorLuxottica,0,24.00,0.00
2026-05-05,DIVIDENDE,SAN.PA,Sanofi,0,61.80,0.00
2026-05-06,DIVIDENDE,SAP.DE,SAP,0,17.50,0.00
2026-05-11,DIVIDENDE,SU.PA,Schneider Electric,0,42.00,0.00
2026-05-18,DIVIDENDE,AI.PA,Air Liquide,0,26.91,0.00
2026-05-18,DIVIDENDE,BNP.PA,BNP Paribas,0,77.10,0.00
2026-05-18,VENTE,DG.PA,Vinci,6,124.50,1.99
2026-05-26,DIVIDENDE,SAF.PA,Safran,0,13.40,0.00
2026-06-05,ACHAT,CW8.PA,Amundi MSCI World,1,671.53,1.99
2026-06-15,ACHAT,SU.PA,Schneider Electric,3,270.15,1.99
2026-06-30,DIVIDENDE,TTE.PA,TotalEnergies,0,8.50,0.00
2026-07-06,ACHAT,CW8.PA,Amundi MSCI World,1,687.74,1.99
2026-07-20,VENTE,ESE.PA,BNP Paribas Easy S&P 500,40,33.22,1.99
2026-07-27,DIVIDENDE,ASML.AS,ASML,0,7.52,0.00
2026-08-05,ACHAT,CW8.PA,Amundi MSCI World,1,697.77,1.99
2026-09-07,ACHAT,EL.PA,EssilorLuxottica,2,148.55,1.99
2026-09-07,ACHAT,CW8.PA,Amundi MSCI World,1,692.52,1.99
2026-09-24,DIVIDENDE,BNP.PA,BNP Paribas,0,96.90,0.00
